,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
2-s2.0-85116548769,2-s2.0-85116548769,10.1021/acs.iecr.1c02681,Catalytic Materials: Concepts To Understand the Pathway to Implementation,2021,12,2023-05-01 10:45:38,"© 2021 American Chemical SocietyThe catalytic process mediated by solid materials plays an important role in current human wealth and environmental protection. It enables the production of clean fuels and chemical products, and it ultimately allows the mitigation of undesired gas or liquid emissions to the environment. These features are highly recognized by the scientific community, industrial sector, and society. Despite this relevance, the hurdles that must be overcome to become industrially relevant are less known. There are many demanding requirements. This commentary reviews, from an academic point of view, the implementation requirements of a catalytic material. The motivation for this perspective article comes from the existing gap between academic research and industrial application. This account first defines what a catalytic material is, from the structural and application point of views. It then locates the catalytic material in an entire system analysis. This includes active sites, reactor system, the entire plant and the integration with other processes. Subsequently, the properties of an ideal industrial catalyst are described, such as activity, selectivity, volumetric efficiency, compatibility, stability, and economics. Finally, it discusses challenges related to the next stages in the process development. These may limit the application, although the material is attractive at the fundamental scale. The discussed topics provide an overview of the fascinating world of catalytic materials and their challenges. The expectation is that more catalysis-based concepts will contribute in the future to more sustainable technologies."
2-s2.0-85122024680,2-s2.0-85122024680,10.1021/acsomega.1c05891,F-Serve as Surface Trapping Sites to Promote the Charge Separation and Transfer of TiO2,2021,3,2023-05-01 10:45:39,"© 2021 The Authors. Published by American Chemical Society.Finding an effective strategy to promote the charge transfer and separation of TiO2 is urgently needed. Herein, a surface fluorination (F-)-modified TiO2 (denoted as TO-xF, where x represents the volume of HF added in the solution) catalyst has been prepared by a mild and facile post-treatment method. The changes induced by surface F- on the morphological, structural, and surface electronic features and the charge separation and transfer efficiency of TiO2 were specifically examined. Compared with pristine TO, TO-0.4F exhibits enhanced photocatalytic degradation of methyl orange and phenol, production of hydroxyl radicals, and photocurrent response. The enhanced photocatalytic activities of TO-0.4F can be attributed to the role of surface F- as surface trapping sites in effectively boosting the charge transfer and separation processes, which is verified by the steady-state and time-resolved fluorescence spectroscopy, electrochemical impedance spectroscopy, Bode plot, transient photocurrent response, and open-circuit voltage measurements. This study emphasizes the role of surface F- in promoting the charge transfer and separation and improving the photocatalytic activity of TiO2."
2-s2.0-85121982030,2-s2.0-85121982030,10.1021/acsomega.1c02089,Electrochemical Properties of Zn–Al–La Layered Double Hydroxides in Zn–Ni Secondary Batteries,2021,3,2023-05-01 10:45:39,"© 2021 The Authors. Published by American Chemical SocietyZn–Al–La layered double hydroxides (LDHs) were prepared by the hydrothermal method and used as a new anodic material for Zn–Ni secondary batteries. The morphology and microstructure of Zn–Al–La-LDHs were analyzed by Fourier transform infrared, X-ray diffraction (XRD), and scanning electron microscopy (SEM). The electrochemical properties of Zn–Al–La-LDHs as negative electrode materials for Zn–Ni batteries were studied by the cyclic voltammetry, Tafel polarization curve, and constant current charge–discharge test. XRD and SEM analysis showed that the crystallinity of the prepared Zn–Al–La-LDHs was good and the dispersion was uniform and showed regular hexagonal structures. The results of electrical properties show that Zn–Al–La-LDHs have good cycle reversibility and corrosion resistance when applied to Zn–Ni secondary batteries. The analysis of galvanostatic charge–discharge measurement results shows that the Zn–Al–La-LDH electrode has excellent cycle stability and charge–discharge characteristics. After 150 cycles, the cycle retention rate can reach 91.63%."
2-s2.0-85121865590,2-s2.0-85121865590,10.1039/d1cp04134g,The determination of the HOR/HER reaction mechanism from experimental kinetic data,2021,5,2022-11-19 17:04:33,"© the Owner Societies 2021.Hydrogen oxidation and evolution are important processes from both a fundamental and applied perspective. In interpreting experimental kinetic data, few studies have explicitly accounted for the impact of H* coverage and mass transport, which lead to discrepancies in the kinetic parameters and the resultant reaction mechanism. Here, we present how to determine the kinetic parameters accounting for both effects. We discuss the use of the kinetic parameters towards mechanistic interpretations for HOR/HER and show that, in general, knowledge of the coverage of H* or activation energies may be required to assign a reaction mechanism. We apply these ideas to activity data of several HOR and HER electrocatalysts, such as Au, Pt, MoS2, and CoP."
2-s2.0-85121667534,2-s2.0-85121667534,10.1039/d1sc05867c,Active site engineering of single-atom carbonaceous electrocatalysts for the oxygen reduction reaction,2021,12,2023-05-01 10:45:43,"© The Royal Society of Chemistry 2021.The electrocatalytic oxygen reduction reaction (ORR) is the vital process at the cathode of next-generation electrochemical storage and conversion technologies, such as metal-air batteries and fuel cells. Single-metal-atom and nitrogen co-doped carbonaceous electrocatalysts (M-N-C) have emerged as attractive alternatives to noble-metal platinum for catalyzing the kinetically sluggish ORR due to their high electrical conductivity, large surface area, and structural tunability at the atomic level, however, their application is limited by the low intrinsic activity of the metal-nitrogen coordination sites (M-Nx) and inferior site density. In this Perspective, we summarize the recent progress and milestones relating to the active site engineering of single atom carbonous electrocatalysts for enhancing the ORR activity. Particular emphasis is placed on the emerging strategies for regulating the electronic structure of the single metal site and populating the site density. In addition, challenges and perspectives are provided regarding the future development of single atom carbonous electrocatalysts for the ORR and their utilization in practical use."
2-s2.0-85121667248,2-s2.0-85121667248,10.1039/d1nr05901g,Molecular design of heterogeneous electrocatalysts using tannic acid-derived metal-phenolic networks,2021,2,2022-11-19 17:04:34,"© 2021 The Royal Society of Chemistry.Electrochemistry could play a critical role in the transition to a more sustainable society by enabling the carbon-neutral production and use of various chemicals as well as efficient use of renewable energy resources. A prerequisite for the practical application of various electrochemical energy conversion and storage technologies is the development of efficient and robust electrocatalysts. Recently, molecularly designed heterogeneous catalysts have drawn great attention because they combine the advantages of both heterogeneous solid and homogeneous molecular catalysts. In particular, recently emerged metal-phenolic networks (MPNs) show promise as electrocatalysts for various electrochemical reactions owing to their unique features. They can be easily synthesized under mild conditions, making them eco-friendly, form uniform and conformal thin films on various kinds of substrates, accommodate various metal ions in a single-atom manner, and have excellent charge-transfer ability. In this minireview, we summarize the development of various MPN-based electrocatalysts for diverse electrochemical reactions, such as the hydrogen evolution reaction, the oxygen evolution reaction, the CO2 reduction reaction, and the N2 reduction reaction. We believe that this article provides insight into molecularly designable heterogeneous electrocatalysts based on MPNs and guidelines for broadening the applications of MPNs as electrocatalysts."
2-s2.0-85121665282,2-s2.0-85121665282,10.1039/d1sc05168g,How do H2oxidation molecular catalysts assemble onto carbon nanotube electrodes? A crosstalk between electrochemical and multi-physical characterization techniques,2021,2,2023-05-01 10:45:44,"© The Royal Society of Chemistry 2021.Molecular catalysts show powerful catalytic efficiency and unsurpassed selectivity in many reactions of interest. As their implementation in electrocatalytic devices requires their immobilization onto a conductive support, controlling the grafting chemistry and its impact on their distribution at the surface of this support within the catalytic layer is key to enhancing and stabilizing the current they produce. This study focuses on molecular bioinspired nickel catalysts for hydrogen oxidation, bound to carbon nanotubes, a conductive support with high specific area. We couple advanced analysis by transmission electron microscopy (TEM), for direct imaging of the catalyst layer on individual nanotubes, and small angle neutron scattering (SANS), for indirect observation of structural features in a relevant aqueous medium. Low-dose TEM imaging shows a homogeneous, mobile coverage of catalysts, likely as a monolayer coating the nanotubes, while SANS unveils a regular nanostructure in the catalyst distribution on the surface with agglomerates that could be imaged by TEM upon aging. Together, electrochemistry, TEM and SANS analyses allowed drawing an unprecedented and intriguing picture with molecular catalysts evenly distributed at the nanoscale in two different populations required for optimal catalytic performance."
2-s2.0-85121466852,2-s2.0-85121466852,10.1039/d1dt03302f,Preparation of LDO@TiO2core-shell nanosheets for enhanced photocatalytic degradation of organic pollution,2021,2,2023-05-01 10:45:51,"© The Royal Society of Chemistry 2021.TiO2-based nanosheet materials with a core-shell structure are expected to be one of the promising photocatalysts for the degradation of organic pollution. It is a challenge to synthesize TiO2by the desired nucleation and growth process, so most reported TiO2core-shell photocatalysts are prepared using TiO2as a core material. Layered double hydroxides (LDHs) are considered ideal platforms to grow TiO2in situand further serve as additional components to improve the separation of photogenerated charge carriers. In this work, we report the design and fabrication of anatase TiO2-coated ZnAl-layered double oxide (LDO@TiO2) nanosheets, which involve thein situgrowth of TiO2on ZnAl-LDH followed by subsequent calcination treatment. The resulting LDO@TiO2photocatalyst yields typical core-shell nanosheet morphology with a mesoporous structure, exhibiting excellent photodegradation and mineralization efficiency for organic pollution."
2-s2.0-85121102399,2-s2.0-85121102399,10.1021/acs.chemmater.1c03255,Covalent Functionalization of Nickel Phosphide Nanocrystals with Aryl-Diazonium Salts,2021,3,2023-05-01 10:45:53,"© 2021 American Chemical SocietyCovalent functionalization of Ni2P nanocrystals was demonstrated using aryl-diazonium salts. Spontaneous adsorption of aryl functional groups was observed, with surface coverages ranging from 20 to 96% depending on the native reactivity of the salt as determined by the aryl substitution pattern. Increased coverage was possible for low reactivity species using a sacrificial reductant. Functionalization was confirmed using thermogravimetric analysis, Fourier transform infrared spectroscopy, and X-ray photoelectron spectroscopy. The structure and energetics of this nanocrystal electrocatalyst system, as a function of ligand coverage, were explored with density functional theory calculations. The Hammett parameter of the surface functional group was found to linearly correlate with the change in Ni and P core–electron binding energies and the nanocrystal’s experimentally and computationally determined work function. The electrocatalytic activity and stability of the functionalized nanocrystals for hydrogen evolution were also improved when compared to the unfunctionalized material, but a simple trend based on electrostatics was not evident. Density functional theory was used to understand this discrepancy, revealing that H adsorption energies on the covalently functionalized Ni2P also do not follow the electrostatic trend and are predictive descriptors of the experimental results."
2-s2.0-85135851333,2-s2.0-85135851333,10.1021/jacsau.1c00371,Fabrication of 3D Amino-Functionalized Metal-Organic Framework on Porous Nickel Foam Skeleton to Combinate Follicle Stimulating Hormone Antibody for Specific Recognition of Follicle-Stimulating Hormone,2021,3,2023-05-01 10:45:56,"© 2021 American Chemical Society. All rights reserved.In this study, a superficial and highly efficient hydrothermal synthesis method was developed for the in situ growth of amine-functionalized iron containing metal-organic frameworks (H2N-Fe-MIL-101 MOFs) on porous nickel foam (NicF) skeletons (H2N-Fe-MIL-101/NicF). The uniform decoration of the H2N-Fe-MIL-101 nanosheets thus generated on NicF was immobilized with follicle-stimulating hormone (FSH) antibody (Ab-FSH) to detect FSH antigen. In the present work, the Ab-FSH tagged H2N-Fe-MIL-101/NicF electrode was first applied as an immunosensor for the recognition of FSH, electrochemically. With all of the special characteristics, this material demonstrated superior specific recognition and sensitivity for FSH with an estimated detection limit (LOD) of 11.6 and 11.5 fg/mL for buffered and serum solutions, respectively. The availability of specific functional groups on MOFs makes them an interesting choice for exploring molecular sensing applications utilizing Ab-FSH tagged biomolecules."
2-s2.0-85134819455,2-s2.0-85134819455,10.1021/jacsau.1c00355,Dynamics of Heterogeneous Catalytic Processes at Operando Conditions,2021,18,2023-04-17 23:39:49,"© 2021 American Chemical Society. All rights reserved.The rational design of high-performance catalysts is hindered by the lack of knowledge of the structures of active sites and the reaction pathways under reaction conditions, which can be ideally addressed by an in situ/operando characterization. Besides the experimental insights, a theoretical investigation that simulates reaction conditions-so-called operando modeling-is necessary for a plausible understanding of a working catalyst system at the atomic scale. However, there is still a huge gap between the current widely used computational model and the concept of operando modeling, which should be achieved through multiscale computational modeling. This Perspective describes various modeling approaches and machine learning techniques that step toward operando modeling, followed by selected experimental examples that present an operando understanding in the thermo- and electrocatalytic processes. At last, the remaining challenges in this area are outlined."
2-s2.0-85127919769,2-s2.0-85127919769,10.1021/jacsau.1c00346,The Restructuring-Induced CoOxCatalyst for Electrochemical Water Splitting,2021,11,2023-02-02 13:16:18,"© 2021 American Chemical Society. All rights reserved.Restructuring is an important yet less understood phenomenon in the catalysis community. Recent studies have shown that a group of transition metal sulfide catalysts can completely or partially restructure during electrochemical reactions which then exhibit high activity even better than the best commercial standards. However, such restructuring processes and the final structures of the new catalysts are elusive, mainly due to the difficulty from the reaction-induced changes that cannot be captured by ex situ characterizations. To establish the true structure-property relationship in these in situ generated catalysts, we use multimodel operando characterizations including Raman spectroscopy, X-ray absorption spectroscopy, and X-ray reflectivity to investigate the restructuring of a representative catalyst, Co9S8, that shows better activity compared to the commercial standard RuO2during the oxygen evolution reaction (OER), a key half reaction in water-splitting for hydrogen generation. We find that Co9S8ultimately converts to oxide cluster (CoOx) containing six oxygen coordinated Co octahedra as the basic unit which is the true catalytic center to promote high OER activity. The density functional theory calculations verify the in situ generated CoOxconsisting of edge-sharing CoO6octahedral clusters as the actual active sites. Our results also provide insights to design other transition-metal-based materials as efficient electrocatalysts that experience a similar restructuring in OER."
2-s2.0-85127342623,2-s2.0-85127342623,10.1021/jacsau.1c00384,Understanding Single-Atom Catalysis in View of Theory,2021,30,2023-05-01 10:45:57,"© 2021 American Chemical Society. All rights reserved.In the past decade, isolated single atoms have been successfully dispersed on various substrates, with their potential applications being intensively investigated in different reactions. While the essential target of research in single-atom catalysis is the precise synthesis of stable single-atom catalysts (SACs) with clear configurations and impressive catalytic performance, theoretical investigations have also played important roles in identifying active sites, revealing catalytic mechanisms, and establishing structure-activity relationships. Nevertheless, special attention should still be paid in theoretical works to the particularity of SACs. In this Perspective, we will summarize the theoretical progress made on the understanding of the rich phenomena in single-atom catalysis. We focus on the determination of local structures of SACs via comparison between experiments and simulations, the discovery of distinctive catalytic mechanisms induced by multiadsorption, synergetic effects, and dynamic evolutions, to name a few, the proposal of criteria for theoretically designing SACs, and the extension of original concepts of single-atom catalysis. We hope that this Perspective will inspire more in-depth thinking on future theoretical studies of SACs."
2-s2.0-85127003962,2-s2.0-85127003962,10.1021/jacsau.1c00359,Dynamic Surface Reconstruction Unifies the Electrocatalytic Oxygen Evolution Performance of Nonstoichiometric Mixed Metal Oxides,2021,13,2023-05-01 10:45:57,"© 2021 American Chemical Society. All rights reserved.Compositionally versatile, nonstoichiometric, mixed ionic-electronic conducting metal oxides of the form An+1BnO3n+1(n = 1 → ∞ A = rare-earth-/alkaline-earth-metal cation; B = transition-metal (TM) cation) remain a highly attractive class of electrocatalysts for catalyzing the energy-intensive oxygen evolution reaction (OER). The current design strategies for describing their OER activities are largely derived assuming a static, unchanged view of their surfaces, despite reports of dynamic structural changes to 3d TM-based perovskites during OER. Herein, through variations in the A- and B-site compositions of An+1BnO3n+1oxides (n = 1 (A2BO4) or n = ∞ (ABO3); A = La, Sr, Ca; B = Mn, Fe, Co, Ni), we show that, in the absence of electrolyte impurities, surface restructuring is universally the source of high OER activity in these oxides and is dependent on the initial oxide composition. Oxide surface restructuring is induced by irreversible A-site cation dissolution, resulting in in situ formation of a TM oxyhydroxide shell on top of the parent oxide core that serves as the active surface for OER. The rate of surface restructuring is found to depend on (i) composition of A-site cations, with alkaline-earth-metal cations dominating lanthanide cation dissolution, (ii) oxide crystal phase, with n = 1 A2BO4oxides exhibiting higher rates of A-site dissolution in comparison to n = ∞ ABO3perovskites, (iii) lattice strain in the oxide induced by mixed rare-earth- and alkaline-earth-metal cations in the A-site, and (iv) oxide reducibility. Among the in situ generated 3d TM oxyhydroxide structures from An+1BnO3n+1oxides, Co-based structures are characterized by superior OER activity and stability, even in comparison to as-synthesized Co-oxyhydroxide, pointing to the generation of high active surface area structures through oxide restructuring. These insights are critical toward the development of revised design criteria to include surface dynamics for effectively describing the OER activity of nonstoichiometric mixed-metal oxides."
2-s2.0-85126586678,2-s2.0-85126586678,10.1021/jacsau.1c00408,Visible-Light-Driven Water Oxidation on Self-Assembled Metal-Free Organic@Carbon Junctions at Neutral pH,2021,3,2023-02-02 13:16:18,"© 2021 The Authors. Published by American Chemical Society.Sustainable water oxidation requires low-cost, stable, and efficient redox couples, photosensitizers, and catalysts. Here, we introduce the in situ self-assembly of metal-atom-free organic-based semiconductive structures on the surface of carbon supports. The resulting TTF/TTF•+@carbon junction (TTF = tetrathiafulvalene) acts as an all-in-one highly stable redox-shuttle/photosensitizer/molecular-catalyst triad for the visible-light-driven water oxidation reaction (WOR) at neutral pH, eliminating the need for metallic or organometallic catalysts and sacrificial electron acceptors. A water/butyronitrile emulsion was used to physically separate the photoproducts of the WOR, H+ and TTF, allowing the extraction and subsequent reduction of protons in water, and the in situ electrochemical oxidation of TTF to TTF•+ on carbon in butyronitrile by constant anode potential electrolysis. During 100 h, no decomposition of TTF was observed and O2 was generated from the emulsion while H2 was constantly produced in the aqueous phase. This work opens new perspectives for a new generation of metal-atom-free, low-cost, redox-driven water-splitting strategies."
2-s2.0-85125130833,2-s2.0-85125130833,10.1021/jacsau.1c00444,Alkali-Metal-Mediated Reversible Chemical Hydrogen Storage Using Seawater,2021,4,2023-05-01 10:45:58,"© 2021 The Authors. Published by American Chemical Society.The economic viability and systemic sustainability of a green hydrogen economy are primarily dependent on its storage. However, none of the current hydrogen storage methods meet all the targets set by the US Department of Energy (DoE) for mobile hydrogen storage. One of the most promising routes is through the chemical reaction of alkali metals with water; however, this method has not received much attention owing to its irreversible nature. Herein, we present a reconditioned seawater battery-assisted hydrogen storage system that can provide a solution to the irreversible nature of alkali-metal-based hydrogen storage. We show that this system can also be applied to relatively lighter alkali metals such as lithium as well as sodium, which increases the possibility of fulfilling the DoE target. Furthermore, we found that small (1.75 cm2) and scaled-up (70 cm2) systems showed high Faradaic efficiencies of over 94%, even in the presence of oxygen, which enhances their viability."
