,Unnamed: 0,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
12,2-s2.0-85121982030,2-s2.0-85121982030,10.1021/acsomega.1c02089,Electrochemical Properties of Zn–Al–La Layered Double Hydroxides in Zn–Ni Secondary Batteries,2021,3,2023-05-01 10:45:39,publish american chemical societyznalla layer double hydroxide ldhs prepare hydrothermal method use new anodic material znni secondary battery morphology microstructure znalla ldhs analyze fouri transform infrared x ray diffraction xrd scan electron microscopy sem electrochemical property znalla ldhs negative electrode material znni battery study cyclic voltammetry tafel polarization curve constant current chargedischarge test xrd sem analysis show crystallinity prepare znalla ldhs good dispersion uniform show regular hexagonal structure result electrical property show znalla ldhs good cycle reversibility corrosion resistance apply znni secondary battery analysis galvanostatic chargedischarge measurement result show znalla ldh electrode excellent cycle stability chargedischarge characteristic cycle cycle retention rate reach 91.63
13,2-s2.0-85121865590,2-s2.0-85121865590,10.1039/d1cp04134g,The determination of the HOR/HER reaction mechanism from experimental kinetic data,2021,5,2022-11-19 17:04:33,interpret experimental kinetic datum study explicitly account impact h coverage mass transport lead discrepancy kinetic parameter resultant reaction mechanism present determine kinetic parameter accounting effect discuss use kinetic parameter towards mechanistic interpretation horher show general knowledge coverage h activation energy may require assign reaction mechanism apply idea activity datum several hor electrocatalyst au pt mos2 mo s cop
14,2-s2.0-85121667534,2-s2.0-85121667534,10.1039/d1sc05867c,Active site engineering of single-atom carbonaceous electrocatalysts for the oxygen reduction reaction,2021,12,2023-05-01 10:45:43,single metal atom nitrogen co dope carbonaceous electrocatalyst n c emerge attractive alternative noble metal platinum catalyze kinetically sluggish orr due high electrical conductivity large surface area structural tunability atomic level however application limit low intrinsic activity metal nitrogen coordination site nx inferior site density perspective summarize recent progress milestone relate active site engineering single atom carbonous electrocatalyst enhance orr activity particular emphasis place emerge strategy regulate electronic structure single metal site populate site density addition challenge perspective provide regard future development single atom carbonous electrocatalyst orr utilization practical use
15,2-s2.0-85121667248,2-s2.0-85121667248,10.1039/d1nr05901g,Molecular design of heterogeneous electrocatalysts using tannic acid-derived metal-phenolic networks,2021,2,2022-11-19 17:04:34,prerequisite practical application various electrochemical energy conversion storage technologies development efficient robust electrocatalyst recently molecularly design heterogeneous catalyst draw great attention combine advantage heterogeneous solid homogeneous molecular catalyst particular recently emerge metal phenolic network mpns show promise electrocatalyst various electrochemical reaction owe unique feature easily synthesize mild condition make eco friendly form uniform conformal thin film various kind substrate accommodate various metal ion single atom manner excellent charge transfer ability minireview summarize development various mpn base electrocatalyst diverse electrochemical reaction hydrogen evolution reaction oxygen evolution reaction co2 c o reduction reaction n2 n reduction reaction believe article provide insight molecularly designable heterogeneous electrocatalyst base mpns guideline broaden application mpns electrocatalyst
16,2-s2.0-85121665282,2-s2.0-85121665282,10.1039/d1sc05168g,How do H2oxidation molecular catalysts assemble onto carbon nanotube electrodes? A crosstalk between electrochemical and multi-physical characterization techniques,2021,2,2023-05-01 10:45:44,implementation electrocatalytic device require immobilization onto conductive support control graft chemistry impact distribution surface support within catalytic layer key enhancing stabilize current produce study focus molecular bioinspired nickel catalyst hydrogen oxidation bind carbon nanotube conductive support high specific area couple advanced analysis transmission electron microscopy tem direct imaging catalyst layer individual nanotube small angle neutron scatter san indirect observation structural feature relevant aqueous medium low dose tem imaging show homogeneous mobile coverage catalyst likely monolayer coating nanotube san unveil regular nanostructure catalyst distribution surface agglomerates could image tem upon age together electrochemistry tem sans analysis allow draw unprecedented intriguing picture molecular catalyst evenly distribute nanoscale two different population require optimal catalytic performance
17,2-s2.0-85121466852,2-s2.0-85121466852,10.1039/d1dt03302f,Preparation of LDO@TiO2core-shell nanosheets for enhanced photocatalytic degradation of organic pollution,2021,2,2023-05-01 10:45:51,challenge synthesize tio2by ti o desire nucleation growth process report tio2core ti o shell photocatalyst prepare use tio2as ti o core material layer double hydroxide ldhs consider ideal platform grow tio2 in ti o situand serve additional component improve separation photogenerate charge carrier work report design fabrication anatase tio2 ti o coat znal layered double oxide ldo tio2 ti o nanosheet involve thein situgrowth tio2on ti o znal ldh follow subsequent calcination treatment result ldo tio2photocatalyst ti o yield typical core shell nanosheet morphology mesoporous structure exhibit excellent photodegradation mineralization efficiency organic pollution
18,2-s2.0-85121102399,2-s2.0-85121102399,10.1021/acs.chemmater.1c03255,Covalent Functionalization of Nickel Phosphide Nanocrystals with Aryl-Diazonium Salts,2021,3,2023-05-01 10:45:53,spontaneous adsorption aryl functional group observe surface coverage range depend native reactivity salt determine aryl substitution pattern increase coverage possible low reactivity specie use sacrificial reductant functionalization confirm use thermogravimetric analysis fouri transform infrared spectroscopy x ray photoelectron spectroscopy structure energetic nanocrystal electrocatalyst system function ligand coverage explore density functional theory calculation hammett parameter surface functional group find linearly correlate change ni p coreelectron bind energy nanocrystal experimentally computationally determined work function electrocatalytic activity stability functionalize nanocrystal hydrogen evolution also improve compare unfunctionalized material simple trend base electrostatic evident density functional theory use understand discrepancy reveal h adsorption energy covalently functionalize ni2p ni p also follow electrostatic trend predictive descriptor experimental result
19,2-s2.0-85135851333,2-s2.0-85135851333,10.1021/jacsau.1c00371,Fabrication of 3D Amino-Functionalized Metal-Organic Framework on Porous Nickel Foam Skeleton to Combinate Follicle Stimulating Hormone Antibody for Specific Recognition of Follicle-Stimulating Hormone,2021,3,2023-05-01 10:45:56,uniform decoration h2n h n fe mil nanosheets thus generate nicf immobilize follicle stimulate hormone fsh antibody ab fsh detect fsh antigen present work ab fsh tag h2n h n fe mil 101 / nicf electrode first apply immunosensor recognition fsh electrochemically special characteristic material demonstrate superior specific recognition sensitivity fsh estimate detection limit lod 11.6 11.5 fgml buffer serum solution respectively availability specific functional group mof make interesting choice explore molecular sensing application utilize ab fsh tag biomolecule
20,2-s2.0-85134819455,2-s2.0-85134819455,10.1021/jacsau.1c00355,Dynamics of Heterogeneous Catalytic Processes at Operando Conditions,2021,18,2023-04-17 23:39:49,besides experimental insight theoretical investigation simulate reaction condition call operando model necessary plausible understanding work catalyst system atomic scale however still huge gap current widely use computational model concept operando modeling achieve multiscale computational modeling perspective describe various modeling approach machine learn technique step toward operando modeling follow select experimental example present operando understand thermo electrocatalytic process last remain challenge area outline
21,2-s2.0-85127919769,2-s2.0-85127919769,10.1021/jacsau.1c00346,The Restructuring-Induced CoOxCatalyst for Electrochemical Water Splitting,2021,11,2023-02-02 13:16:18,recent study show group transition metal sulfide catalyst completely partially restructure electrochemical reaction exhibit high activity even well good commercial standard however restructure process final structure new catalyst elusive mainly due difficulty reaction induce change capture ex situ characterization establish true structure property relationship situ generate catalyst use multimodel operando characterization include raman spectroscopy x ray absorption spectroscopy x ray reflectivity investigate restructure representative catalyst co9s8 co s show well activity compare commercial standard ruo2during ru o oxygen evolution reaction oer key half reaction water splitting hydrogen generation find co9s8ultimately co s convert oxide cluster coox contain six oxygen coordinate co octahedra basic unit true catalytic center promote high oer activity density functional theory calculation verify situ generate cooxconsiste edge share coo6octahedral co o cluster actual active site result also provide insight design transition metal base material efficient electrocatalyst experience similar restructuring oer
22,2-s2.0-85127342623,2-s2.0-85127342623,10.1021/jacsau.1c00384,Understanding Single-Atom Catalysis in View of Theory,2021,30,2023-05-01 10:45:57,essential target research single atom catalysis precise synthesis stable single atom catalyst sacs clear configuration impressive catalytic performance theoretical investigation also play important role identify active site reveal catalytic mechanism establish structure activity relationship nevertheless special attention still pay theoretical work particularity sac perspective summarize theoretical progress make understand rich phenomena single atom catalysis focus determination local structure sac via comparison experiment simulation discovery distinctive catalytic mechanism induce multiadsorption synergetic effect dynamic evolution name proposal criterion theoretically design sac extension original concept single atom catalysis hope perspective inspire depth think future theoretical study sac
23,2-s2.0-85127003962,2-s2.0-85127003962,10.1021/jacsau.1c00359,Dynamic Surface Reconstruction Unifies the Electrocatalytic Oxygen Evolution Performance of Nonstoichiometric Mixed Metal Oxides,2021,13,2023-05-01 10:45:57,current design strategy describe oer activity largely derive assume static unchanged view surface despite report dynamic structural change 3d tm base perovskites oer herein variation b site composition an+1bno3n+1oxide an bn o n a2bo4 a b o n abo3 a b o la sr ca b mn fe co ni show absence electrolyte impurity surface restructure universally source high oer activity oxide dependent initial oxide composition oxide surface restructuring induce irreversible site cation dissolution result situ formation tm oxyhydroxide shell top parent oxide core serve active surface oer rate surface restructuring find depend composition site cation alkaline earth metal cation dominate lanthanide cation dissolution ii oxide crystal phase n a2bo4oxide a b o exhibit high rate site dissolution comparison n abo3perovskites a b o iii lattice strain oxide induce mixed rare earth alkaline earth metal cation site iv oxide reducibility among situ generate 3d tm oxyhydroxide structure an+1bno3n+1oxide an bn o co base structure characterize superior oer activity stability even comparison synthesize co oxyhydroxide point generation high active surface area structure oxide restructuring insight critical toward development revise design criterion include surface dynamic effectively describe oer activity nonstoichiometric mix metal oxide
24,2-s2.0-85126586678,2-s2.0-85126586678,10.1021/jacsau.1c00408,Visible-Light-Driven Water Oxidation on Self-Assembled Metal-Free Organic@Carbon Junctions at Neutral pH,2021,3,2023-02-02 13:16:18,publish american chemical society.sustainable water oxidation require low cost stable efficient redox couple photosensitizer catalyst introduce situ self assembly metal atom free organic base semiconductive structure surface carbon support result ttfttf carbon junction ttf tetrathiafulvalene act one highly stable redox shuttlephotosensitizermolecular catalyst triad visible light drive water oxidation reaction wor neutral ph eliminate need metallic organometallic catalyst sacrificial electron acceptor waterbutyronitrile emulsion use physically separate photoproduct wor h ttf allow extraction subsequent reduction proton water situ electrochemical oxidation ttf ttf carbon butyronitrile constant anode potential electrolysis h decomposition ttf observe o2 o generate emulsion h2 h constantly produce aqueous phase work open new perspective new generation metal atom free low cost redox drive water splitting strategy
25,2-s2.0-85125130833,2-s2.0-85125130833,10.1021/jacsau.1c00444,Alkali-Metal-Mediated Reversible Chemical Hydrogen Storage Using Seawater,2021,4,2023-05-01 10:45:58,publish american chemical society.the economic viability systemic sustainability green hydrogen economy primarily dependent storage however none current hydrogen storage method meet target set us department energy doe mobile hydrogen storage one promise route chemical reaction alkali metal water however method receive much attention owe irreversible nature herein present recondition seawater battery assist hydrogen storage system provide solution irreversible nature alkali metal base hydrogen storage show system also apply relatively light alkali metal lithium well sodium increase possibility fulfil doe target furthermore find small 1.75 cm2 scale cm2 system show high faradaic efficiency even presence oxygen enhance viability
26,2-s2.0-85120890066,2-s2.0-85120890066,10.1021/acsaem.1c02930,"Experimental and Theoretical Insights into Transition-Metal (Mo, Fe) Codoping in a Bifunctional Nickel Phosphide Microsphere Catalyst for Enhanced Overall Water Splitting",2021,14,2022-11-19 17:04:40,study report electrodeposition characterization transition metal mo fe codope nickel phosphide ni3p ni p femo bifunctional catalyst enhance overall water splitting alkaline medium ni3p ni p femo catalyst exhibit outstanding electrocatalytic performance hydrogen evolution reaction oxygen evolution reaction low overpotential mv respectively high current density macm2 along fast electrocatalytic kinetic full water splitting electrolyzer consist bifunctional ni3p ni p femo catalyst require low cell voltage 1.48 v attain current density macm2 excellent stability h. density functional theory calculation provide insight microscopic mechanism effective modulation p band center p ni active site mo fe codoping ni3p ni p thereby enhance bifunctional catalytic activity ni3p ni p
27,2-s2.0-85120321505,2-s2.0-85120321505,10.1021/acsaem.1c02570,Toward the Continuous Production of Multigram Quantities of Highly Uniform Supported Metallic Nanoparticles and Their Application for Synthesis of Superior Intermetallic Pt-Alloy ORR Electrocatalysts,2021,13,2023-05-01 10:46:05,namely various metal carbon mc composite prepare use three feedstock component water metal salt support material present approach elegantly utilize also numerous application electrocatalysis heterogeneous catalysis sensor study pc prepare mc composite use metal precursor pt nps deposition use double passivation galvanic displacement method dp method lastly use thin film rotate disc electrode tf rde gas diffusion electrode gde methodology show synergistic effect combine pc technology dp method enable production superior intermetallic pt electrocatalyst improve oxygen reduction reaction orr performance compare commercial pt co electrocatalyst proton exchange membrane fuel cell pemfc application
28,2-s2.0-85120335796,2-s2.0-85120335796,10.1016/j.ecoenv.2021.113021,Facile synthesis of petal-like VS2 anchored onto graphene nanosheets for the rapid sensing of toxic pesticide in polluted water,2021,5,2023-05-01 10:46:08,therefore vital develop reliable methodology accurate precise real time sense carcinogenic ft water sample trace concentration ensure environmental safety aim fabricate low cost vs2 v s attach reduce graphene oxide rgo sheet via simple hydrothermal approach apply rapid accurate sensing toxic ft vs2 / rgo v s r g o composite deliver favorable microenvironment rapid electrocatalytic sense performance towards toxic ft reduction vs2 v s rgo modify electrode electron transfer rate constant ks saturate absorption capacity γ value ft evaluate 1.52 s−1 2.18 10−10 mol cm−2 respectively construct sensor exhibit wide linear relationship amperometry cathodic current density concentration ft range 5–90 nm high sensitivity 5.569 μa nm−1 cm−2 moreover detection limit 0.07 nm sn fabricate sensor excellent anti interference ability reproducibility direct sense ft river water seawater lake water sample acceptable recovery promise sense device situ quantification ft agricultural product ecological system
29,2-s2.0-85119257177,2-s2.0-85119257177,10.1016/j.ecoenv.2021.112990,Electrospun metal-organic frameworks hybrid nanofiber membrane for efficient removal of As(III) and As(V) from water,2021,14,2023-05-01 10:46:08,however powdered mof always suffer aggregation use difficult collection use problem discount efficiency inhibit reusability work zr base mof uio successfully imprison water stable polyacrylonitrile pan substrate electrospinne contain uio hybrid membrane confirm instrumental characterization stability also investigate icp oes analysis obtain composite membrane efficiently remove arsenite asiii arsenate asv water natural ph condition adsorption kinetic fit well pseudo second order model dominate chemisorption adsorption isotherm describe langmuir model maximal adsorption capacity hybrid membrane v iii 42.17 mgg 32.90 mgg respectively result demonstrate mof disperse electrospun nanofiber membrane greatly inherit mof original adsorption property exhibit good regenerability without loss mof electrospinne effective practical method preparation mof hybrid membrane make composite easy collect use
30,2-s2.0-85115297274,2-s2.0-85115297274,10.1016/j.carpta.2021.100103,Hydroxypropylcellulose-based liquid crystal materials,2021,8,2023-05-01 10:46:10,work deal study role cellulose carbon base nanoparticle liquid crystal performance modify hydroxypropyl cellulose hpc lyotropic suspension nanocomposite film comparison study lyotropic suspension hpc hpc nanocomposite characterize rheological study optical property fourier transform infrared spectroscopy ftir x ray diffractometry xrd thermogravimetric analysis tga mechanical analysis scan electron microscope sem optical property technique use characterize nanocomposite film result show introduce cellulose carbon nanoparticle lower critical concentration lyotropic suspension hpc wt . 26–28 wt . early appearance anisotropic phase occur evidence rheological curve optical property ftir xrd tga nanocomposite film show change backbone chemical structure hpc incorporation nanoparticle especially cellulose base nps enhance crystallinity thermal stability behaviour mechanical property behaviour carbon nps hpc film unaccepte deteriorate mechanical property nanocomposite film display good fingerprint texture especially cellulose nanocrystal moderate define morphology promote liquid crystal nanocomposite development
31,2-s2.0-85113211452,2-s2.0-85113211452,10.1016/j.jallcom.2021.161626,Exceptional lithium storage performance achieved by iron-based nanostructures upon extended high-rate cycling,2021,3,2023-05-01 10:46:12,although show low specific capacity rate g−1 begin cycling test find specific capacity increase cycling proceed eventually reach exceptionally high value mah g−1 feooh nrs fe2o3 fe o nts fep nts respectively chargedischarge cycle moreover even high chargedischarge current density g−1 feooh nrs fe2o3 fe o nts fep nt still deliver impressive specific capacity 419.4 459.7 603.4 mah g−1 respectively upon chargedischarge cycle lithiation induce activation process report offer new perspective design high performance anode long live lithium ion battery
32,2-s2.0-85122428540,2-s2.0-85122428540,10.3389/fchem.2021.803860,Metal-Free Pyrene-Based Conjugated Microporous Polymer Catalyst Bearing N- and S-Sites for Photoelectrochemical Oxygen Evolution Reaction,2021,4,2023-05-01 10:46:18,herein develop metal free pyrene base nitrogen sulfur contain conjugate microporous polymer high brunauer emmett teller surface area m2 g−1 low bandgap 2.09 ev oxygen evolution reaction oer alkaline solution π conjugate synthesize porous organic material pbtdz characterize fouri transform infrared spectroscopy ft ir solid state 13c cross polarization magic angle spin nuclear magnetic resonance cp mas nmr n2 n adsorptiondesorption analysis field emission scan electron microscope fesem high resolution transmission electron microscopy hrtem x ray photoelectron spectroscopy xps thermogravimetric analysis tga experiment material act efficient catalyst photoelectrochemical oer current density macm2 0.8 v vs. agagcl deliver µmol oxygen h run presence low bandgap energy π conjugate conduct polymeric skeleton bear donor heteroatom n high specific surface area associate inherent microporosity responsible admirable photoelectrocatalytic activity pbtdz catalyst
33,2-s2.0-85121617286,2-s2.0-85121617286,10.1021/acsanm.1c01676,Magnetically Collected Platinum/Nickel Alloy Nanoparticles as Catalysts for Hydrogen Evolution,2021,1,2022-11-19 17:04:44,publish american chemical societythe hydrogen evolution reaction key process electrochemical water split low cost environmental impact process highly motivated develop electrocatalyst low content noble metal report ingenious synthesis hybrid ptxni1 – x ptx ni electrocatalyst form nanoparticlenanonetwork structure low noble metal content structure possess important feature good electrical conductivity high surface area strong interlinking substrate adhesion render excellent activity specifically well perform pt0.05ni0.95 pt ni sample demonstrate tafel slope mv dec–1 0.5 h2so4 h s o overpotential mv current density cm–2 high stability impressive catalytic performance rationalize theoretical study provide insight mechanism small platinum content allow close optimal adsorption energie hydrogen
34,2-s2.0-85121119643,2-s2.0-85121119643,10.1021/acsanm.1c02591,Electrocatalytic Studies of Coral-Shaped Samarium Stannate Nanoparticles for Selective Detection of Azathioprine in Biological Samples,2021,7,2023-05-01 10:46:21,sm2sn2o7 sm sn o nps prepare use co precipitation technique subject physiochemical characterization x ray diffraction xrd raman spectroscopy x ray photoelectron spectroscopy xps morphological elemental information interpret field emission scan electron microscopy fesem high resolution transmission electron microscopy hrtem analysis electrocatalytic sense pharmaceutical drug azathioprine azn exhibit use cyclic voltammetry cv differential pulse voltammetry dpv sm2sn2o7 / gce sm sn o g c e gce glassy carbon electrode sm2sn2o7 / gce sm sn o g c e high electrocatalytic behavior azn determination limit detection nm superior sensitivity 0.27 μa μm–1 cm–2 linear range 0.01 μm furthermore sm2sn2o7 / gce sm sn o g c e exhibit excellent selectivity long term storage stability good repeatability reproducibility azn detection additionally sm2sn2o7 / gce sm sn o g c e sensor possess considerable importance sense azn biological fluid practical application believe pyrochlore base sm2sn2o7 sm sn o np electrocatalyst act prospective electrode material electrochemical determination azn clinical biological application
35,2-s2.0-85121704426,2-s2.0-85121704426,10.1021/acs.jpcc.1c08496,Electrochemical Stability and Degradation of Commercial Pd/C Catalyst in Acidic Media,2021,2,2022-11-19 17:04:47,publish american chemical societypalladium attract significant attention catalyst co catalyst many electrochemical reaction energy conversion device study electrochemical stability commercial pdc sample acidic electrolyte expose accelerate stress test ast mimic potential spike fuel cell electrolyzer startstop event ast consist extensive rapid potential cycling cycle vs two potential region namely ast1 a s t perform 0.4 1.4 vrhe ast2 a s t perform 0.05 1.4 vrhe degradation pdc monitor change pd electrochemical surface area hydrogen evolution reaction use test reaction observe correspond impact degradation activity pdc significant pdc degradation activity loss observe potential region couple electrochemical flow cell inductively couple plasma mass spectrometry device show substantial pd dissolution ast identical location scan electron microscopy reveal pd dissolution follow redeposition ast result particle size growth particle size growth see especially dramatic case ast2 a s t particularly large pd nanostructure obtain top catalyst layer accord result present work stability pdc pd base nanocatalyst study systematically may present key factor limit application energy conversion device
